ID,SN_AFE,SN_SiPM,M/S,V_br [V],T_br [T],V_opt [V],T_opt [T],dV/dT [V/T],offset [bit],dT [C],time_sample [s],avg_number,avg_mode,avg_alpha,report_every [s],automatic_restart
32,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
32,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
34,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
34,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
35,,,M,52.000,20.00,54.00,24.00,0.060,200,0.010,10,50,WEIGHTED_EXPONENTIAL,1.0e-5,10,1
35,,,S,52.000,20.00,53.50,24.00,0.060,200,0.010,10,50,WEIGHTED_EXPONENTIAL,1.0e-5,10,1
36,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,1,50,WEIGHTED_EXPONENTIAL,1.0e-5,10,1
36,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,1,50,WEIGHTED_EXPONENTIAL,1.0e-5,10,1
15,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
15,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
17,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
17,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
1,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
1,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
47,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
47,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
45,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
45,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
25,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
25,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
46,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
46,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
23,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
23,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
24,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
24,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
22,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
22,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
21,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
21,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
26,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
26,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
27,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
27,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
28,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
28,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
41,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
41,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
42,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
42,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
43,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
43,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
44,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
44,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
12,,,M,52.000,20.00,54.00,24.00,0.060,200,1.00,,,,,,
12,,,S,52.000,20.00,53.50,24.00,0.060,200,1.00,,,,,,
